spec_id,original_path,candidate_path,exists_after_remap,is_test_path,notes
SPEC-007-2-1,tests/safety/pii-scrubber.test.ts,,false,true,
SPEC-007-2-1,tests/safety/secret-detector.test.ts,,false,true,
SPEC-007-2-1,tests/safety/entropy.test.ts,,false,true,
SPEC-007-2-2,src/safety/scrub-pipeline.ts,,false,false,
SPEC-007-2-2,src/safety/scrub-audit.ts,,false,false,
SPEC-007-2-2,src/safety/types.ts,,false,false,
SPEC-007-2-2,tests/safety/scrub-pipeline.test.ts,,false,true,
SPEC-007-2-2,tests/safety/scrub-audit.test.ts,,false,true,
SPEC-007-2-3,src/runner/observation-runner.ts,,false,false,
SPEC-007-2-3,src/safety/weekly-audit.ts,,false,false,
SPEC-007-2-3,src/safety/scrub-pipeline.ts,,false,false,
SPEC-007-2-3,docs/SECURITY.md,,false,false,
SPEC-007-2-3,tests/safety/weekly-audit.test.ts,,false,true,
SPEC-007-2-3,tests/integration/scrub-integration.test.ts,,false,true,
SPEC-007-2-4,tests/safety/corpus/generate-corpus.ts,,false,true,
SPEC-007-2-4,tests/safety/corpus/test-corpus.txt,,false,true,
SPEC-007-2-4,tests/safety/corpus-test.test.ts,,false,true,
SPEC-007-2-4,tests/safety/security-audit.test.ts,,false,true,
SPEC-007-3-1,src/engine/error-detector.ts,,false,false,
SPEC-007-3-1,src/engine/false-positive-filter.ts,,false,false,
SPEC-007-3-1,src/engine/types.ts,,false,false,
SPEC-007-3-1,tests/engine/error-detector.test.ts,,false,true,
SPEC-007-3-1,tests/engine/false-positive-filter.test.ts,,false,true,
SPEC-007-3-2,src/engine/severity-scorer.ts,,false,false,
SPEC-007-3-2,src/engine/prompts/severity-override.ts,,false,false,
SPEC-007-3-2,tests/engine/severity-scorer.test.ts,,false,true,
SPEC-007-3-3,src/engine/fingerprint.ts,,false,false,
SPEC-007-3-3,src/engine/stack-normalizer.ts,,false,false,
SPEC-007-3-3,src/engine/deduplicator.ts,,false,false,
SPEC-007-3-3,src/engine/similarity.ts,,false,false,
SPEC-007-3-3,tests/engine/fingerprint.test.ts,,false,true,
SPEC-007-3-3,tests/engine/deduplicator.test.ts,,false,true,
SPEC-007-3-3,tests/engine/similarity.test.ts,,false,true,
SPEC-007-3-4,src/engine/baseline.ts,,false,false,
SPEC-007-3-4,src/engine/anomaly-detector.ts,,false,false,
SPEC-007-3-4,src/engine/trend-analyzer.ts,,false,false,
SPEC-007-3-4,tests/engine/baseline.test.ts,,false,true,
SPEC-007-3-4,tests/engine/anomaly-detector.test.ts,,false,true,
SPEC-007-3-4,tests/engine/trend-analyzer.test.ts,,false,true,
SPEC-007-3-5,src/engine/adoption-tracker.ts,,false,false,
SPEC-007-3-5,src/engine/confidence.ts,,false,false,
SPEC-007-3-5,src/engine/observation-router.ts,,false,false,
SPEC-007-3-5,tests/engine/adoption-tracker.test.ts,,false,true,
SPEC-007-3-5,tests/engine/confidence.test.ts,,false,true,
SPEC-007-3-5,tests/engine/observation-router.test.ts,,false,true,
SPEC-007-3-6,src/engine/error-handler.ts,,false,false,
SPEC-007-3-6,src/engine/schema-validator.ts,,false,false,
SPEC-007-3-6,tests/engine/error-detector.test.ts,,false,true,
SPEC-007-3-6,tests/engine/severity-scorer.test.ts,,false,true,
SPEC-007-3-6,tests/engine/fingerprint.test.ts,,false,true,
SPEC-007-3-6,tests/engine/deduplicator.test.ts,,false,true,
SPEC-007-3-6,tests/engine/anomaly-detector.test.ts,,false,true,
SPEC-007-3-6,tests/engine/baseline.test.ts,,false,true,
SPEC-007-3-6,tests/engine/trend-analyzer.test.ts,,false,true,
SPEC-007-3-6,tests/integration/engine-pipeline.test.ts,,false,true,
SPEC-007-3-6,tests/integration/graceful-degradation.test.ts,,false,true,
SPEC-007-4-1,src/reports/report-generator.ts,,false,false,
SPEC-007-4-1,src/reports/file-naming.ts,,false,false,
SPEC-007-4-1,src/reports/schema-validator.ts,,false,false,
SPEC-007-4-1,src/reports/templates.ts,,false,false,
SPEC-007-4-1,tests/reports/report-generator.test.ts,,false,true,
SPEC-007-4-1,tests/reports/file-naming.test.ts,,false,true,
SPEC-007-4-1,tests/reports/schema-validator.test.ts,,false,true,
SPEC-007-4-2,src/triage/triage-processor.ts,,false,false,
SPEC-007-4-2,src/triage/actions/promote.ts,,false,false,
SPEC-007-4-2,src/triage/actions/dismiss.ts,,false,false,
SPEC-007-4-2,src/triage/actions/defer.ts,,false,false,
SPEC-007-4-2,src/triage/actions/investigate.ts,,false,false,
SPEC-007-4-2,tests/triage/triage-processor.test.ts,,false,true,
SPEC-007-4-3,src/triage/prd-generator.ts,,false,false,
SPEC-007-4-3,src/triage/prd-template.ts,,false,false,
SPEC-007-4-3,src/triage/audit-log.ts,,false,false,
SPEC-007-4-3,tests/triage/prd-generator.test.ts,,false,true,
SPEC-007-4-3,tests/triage/audit-log.test.ts,,false,true,
SPEC-007-4-4,src/reports/run-metadata.ts,,false,false,
SPEC-007-4-4,src/reports/retention.ts,,false,false,
SPEC-007-4-4,tests/reports/report-generator.test.ts,,false,true,
SPEC-007-4-4,tests/reports/schema-validator.test.ts,,false,true,
SPEC-007-4-4,tests/triage/triage-processor.test.ts,,false,true,
SPEC-007-4-4,tests/triage/prd-generator.test.ts,,false,true,
SPEC-007-4-4,tests/reports/retention.test.ts,,false,true,
SPEC-007-4-4,tests/integration/triage-lifecycle.test.ts,,false,true,
SPEC-007-5-1,src/governance/cooldown.ts,,false,false,
SPEC-007-5-1,src/governance/oscillation.ts,,false,false,
SPEC-007-5-1,src/governance/types.ts,,false,false,
SPEC-007-5-1,src/governance/observation-store.ts,,false,false,
SPEC-007-5-1,tests/governance/cooldown.test.ts,,false,true,
SPEC-007-5-1,tests/governance/oscillation.test.ts,,false,true,
SPEC-007-5-2,src/governance/effectiveness.ts,,false,false,
SPEC-007-5-2,src/governance/effectiveness-writeback.ts,,false,false,
SPEC-007-5-2,src/governance/types.ts,,false,false,
SPEC-007-5-2,tests/governance/effectiveness.test.ts,,false,true,
SPEC-007-5-2,tests/governance/effectiveness-writeback.test.ts,,false,true,
SPEC-007-5-3,src/runner/governance-integration.ts,,false,false,
SPEC-007-5-3,src/runner/observation-runner.ts,,false,false,
SPEC-007-5-3,src/reports/weekly-digest.ts,,false,false,
SPEC-007-5-3,src/reports/digest-types.ts,,false,false,
SPEC-007-5-3,tests/runner/governance-integration.test.ts,,false,true,
SPEC-007-5-3,tests/reports/weekly-digest.test.ts,,false,true,
SPEC-007-5-4,src/triage/notification.ts,,false,false,
SPEC-007-5-4,src/triage/notification-formatter.ts,,false,false,
SPEC-007-5-4,src/triage/notification-receiver.ts,,false,false,
SPEC-007-5-4,src/governance/auto-promote.ts,,false,false,
SPEC-007-5-4,src/governance/override-scheduler.ts,,false,false,
SPEC-007-5-4,tests/triage/notification.test.ts,,false,true,
